blueOpacity,orangeOpacity,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,instr1Resp.keys,instr1Resp.rt,instr1Resp.started,instr1Resp.stopped,trialBlue.started,trialBlue.stopped,trialOrange.started,trialOrange.stopped,trialFix.started,trialFix.stopped,trialResp.keys,trialResp.corr,trialResp.started,trialResp.stopped,trialResp.rt,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,space,0,31,31,31,,,,,,,105.01087190001272,None,105.01087190001272,None,104.02883230010048,105.0444016000256,space,1,104.02883230010048,104.02883230010048,1.8016068001743406,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,32,32,32,,,,,,,106.86035730014555,None,106.86035730014555,None,105.863415800035,106.87682540016249,space,1,105.863415800035,None,1.6793331999797374,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,33,33,33,,,,,,,108.56021460006014,None,108.56021460006014,None,107.56442290009,108.57673940015957,space,1,107.56442290009,None,1.466099799843505,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,34,34,34,,,,,,,110.05993960006163,111.05933269998059,110.05993960006163,111.05933269998059,109.06261220015585,110.07640030002221,None,1,109.06261220015585,None,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,35,35,35,,,,,,,112.05909420014359,113.05871360003948,112.05909420014359,113.05871360003948,111.0769698000513,112.09260400012136,None,1,111.0769698000513,111.0769698000513,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,36,36,36,,,,,,,114.07523960014805,None,114.07523960014805,None,113.09329710016027,114.10855680005625,space,1,113.09329710016027,113.09329710016027,1.4971881001256406,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,37,37,37,,,,,,,115.59159630001523,None,115.59159630001523,None,114.60792460013181,115.60845100018196,space,1,114.60792460013181,None,1.6467075999826193,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,38,38,38,,,,,,,117.27452159998938,118.27454680018127,117.27452159998938,118.27454680018127,116.27825630013831,117.29119130014442,None,1,116.27825630013831,None,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,39,39,39,,,,,,,119.2739754000213,None,119.2739754000213,None,118.29259590012953,119.30726970010437,space,1,118.29259590012953,118.29259590012953,1.426236700033769,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
,,,,,,,,,,,,,,,,,,,,,,,,119.74359610001557,None,,,,,,,
